latitude,longitude,accidentCategoryCode
50.81239810900007,12.948821508000037,3
51.16303159000006,13.04829339400004,3
51.08952411900003,13.24334639400007,3
51.051098187000036,13.803620816000034,2
51.049689175000026,13.809524679000049,3
51.058371169000054,13.753235708000034,3
51.06637253100007,13.596423639000022,3
51.19555106200005,14.997953941000048,3
51.14498587000003,14.995308431000069,3
51.272607193000056,12.377269958000056,3
51.31891081800006,13.123112392000053,1
50.50229219000005,12.13487847500005,3
50.621189368000046,12.52109095000003,3
50.523797381000065,12.765746319000073,3
50.82596047700008,12.941339517000074,3
50.49789057100003,12.926206490000027,3
50.44641313000005,13.013439925000057,3
50.48595248300006,12.739383519000057,3
50.545096783000076,12.57520024300004,3
50.45423657500004,12.632484781000073,3
51.112477771000044,12.98846966700006,3
51.058330855000065,12.984158174000072,3
50.923230243000035,13.43151830000005,2
50.712319043000036,12.875000872000044,3
50.94770272900007,13.98170037400007,3
51.04952097700004,13.744766215000027,3
51.047062133000054,13.670224242000074,2
51.02920793100003,13.673103965000053,3
51.03797453200008,13.808728833000032,3
51.071717868000064,13.748596621000047,3
51.12262299500003,13.722249846000068,3
51.106025017000036,13.628993061000074,3
51.17362588300006,13.85567111100005,3
51.36604683500008,14.178643842000042,2
51.32424311800003,12.391139586000065,3
51.40015274000007,12.392961461000027,3
51.27260744000006,12.377248199000064,3
51.52934176100007,12.196735129000047,3
51.34830789500006,12.376165832000027,3
51.272607193000056,12.377269958000056,3
51.307158162000064,12.372271130000058,3
50.71734515600008,12.486867548000077,3
50.811997888000064,12.692082030000051,3
50.442574739000065,11.894333149000033,3
50.37831076500004,12.143581178000034,3
50.73827705400004,12.368633490000036,3
50.731587371000046,12.48169706300007,3
50.71932570000007,12.766790413000024,3
50.88705457800006,12.753227988000049,3
50.99928500900006,13.157740034000028,3
50.64700933000006,13.356575503000045,3
51.02520039800004,12.902895393000051,3
50.601336425000056,12.804782583000076,3
51.24476621500003,13.503435779000029,2
51.07374780400005,13.794165348000035,2
51.20966087200003,14.731214127000044,3
51.08328949400004,14.69254883900004,3
51.36380638300005,12.313774633000037,2
51.13776198700003,12.509046070000068,2
51.32018589300003,12.16697466100004,3
51.34258740400003,12.445078852000051,3
51.33593836400007,12.405987928000059,3
51.32643419300007,12.379325022000046,3
51.05380043100007,12.558253999000044,3
51.559510196000076,12.987063028000023,3
50.593613265000045,12.337883162000026,3
50.68511523700005,12.488084017000062,3
50.79983645600004,12.971774777000064,2
50.72218606200005,12.784532204000072,3
51.03992829400005,13.804580986000076,2
51.10830431200003,13.736237696000046,3
50.99615230300003,13.795851798000058,3
50.98240545300007,13.796423624000056,3
51.04208042600004,13.701170340000033,3
51.184999574000074,13.499172111000064,3
50.97417752400003,13.940100981000057,3
51.10528389500007,14.459923269000058,3
51.07040800100003,13.994170384000029,3
51.25829335600008,14.251634402000036,3
50.901758888000074,14.822482282000067,3
50.89938091000005,14.712126405000049,3
51.327079499000035,12.403199749000066,3
51.37022078900003,12.478219054000022,3
51.26042507200003,12.911272204000056,3
50.58415323100007,12.351119563000054,3
50.99151048600004,13.118742189000045,3
50.57397298400008,13.053242296000064,3
50.46864222000005,12.987172668000028,3
51.00673359000007,13.83698018900003,3
50.99346292200005,13.766558313000075,3
51.064386898000066,13.611991275000037,3
51.03659332900003,13.62952983100007,2
51.01669502300007,13.671012751000035,3
50.91865741700008,14.189741454000057,3
51.165171384000075,14.688967197000068,2
50.85482595500008,14.702227697000069,3
51.36263049900003,12.468350469000029,3
51.32156350400004,12.38966888400006,3
51.323555182000064,13.042486867000036,2
50.60656420500004,12.391012556000021,3
50.599662024000054,12.410619225000062,3
50.81741290000008,12.612844338000059,3
50.885822939000036,12.700709251000035,3
50.65139019000003,12.827399968000066,3
50.58904534200008,12.696958965000022,3
51.059672997000064,13.67058159100003,3
51.09324529400004,13.720370220000063,3
51.04222714400004,13.751844077000044,3
51.03758408400006,13.597946876000037,3
51.296301192000044,13.53049426900003,3
51.28878228200006,13.525470949000066,3
51.10469091900006,13.418796249000025,3
51.10706616600004,13.647890661000076,3
50.92676434200007,14.043666639000037,3
50.92468635700004,14.048854041000027,3
51.14761481000005,14.956730953000033,2
51.45311372000003,14.189949780000063,3
50.97928703400004,14.615991013000041,3
51.322892833000026,12.393393169000035,3
51.35323068300005,12.376524704000076,3
51.33839343100004,12.404057823000073,2
51.38720970500003,12.805416321000052,2
51.34273968000008,12.381168530000025,3
51.369381849000035,12.466801670000052,3
51.358470090000026,12.367737590000047,3
51.31825511300008,12.407412089000047,3
51.332768298000076,12.480435343000067,3
51.30652235700006,12.380666781000059,3
51.13551605200007,12.50967272400004,3
51.10389020000008,12.718504693000057,2
51.35936200900005,12.715977052000028,2
50.64862102500007,12.475492606000046,2
50.711319942000046,12.473537184000065,2
50.47189928200004,11.946817474000056,3
50.68340301500007,12.479654624000034,2
51.04792999600005,12.798600867000061,2
50.831349473000046,12.953884377000065,3
50.84109180300004,12.919777621000037,3
50.591554131000066,12.699765164000041,2
51.11765503700008,13.126629353000055,2
50.84704367900008,13.234686513000042,3
50.905472951000036,12.863851327000077,3
50.933386134000045,12.704851508000047,3
51.11302901100004,13.773804319000021,3
51.04184464900004,13.799020512000027,3
50.99850513200005,13.79950976200007,3
51.08763002200004,13.631385870000031,2
51.01928615800006,13.63578715500006,3
50.98541793900006,13.576610302000063,3
51.29290989800006,13.528053444000022,3
51.14331418800003,14.025555088000033,3
51.190307707000045,14.188193021000075,3
51.173573143000056,14.429576815000075,3
51.338246111000046,12.386767938000048,2
51.37510916100007,12.412865382000064,2
51.467625963000046,12.455342916000063,3
51.37584739000005,12.378154679000033,3
51.35069409100004,12.44569597700007,3
51.32056448600008,12.37339666400004,3
51.32351534900005,12.41319126600007,3
51.35186228400005,12.458408285000075,3
50.58882607100003,12.275087347000067,2
50.73099674600007,12.483787584000027,2
50.50855018100003,12.402564117000054,2
50.500483657000075,12.135725455000056,3
50.72186134400005,12.501571455000033,3
50.50465059700008,12.130938177000075,3
50.82147358900005,12.94314937400003,3
50.605028606000076,12.687804775000075,2
50.58827704300006,12.731652930000052,3
50.85627406200007,13.393443038000044,3
51.304532952000045,13.38468079100005,2
50.986169833000076,13.675813151000057,3
51.06636198400008,13.753841296000076,3
51.04543715900007,13.711278821000064,3
51.33418037100006,13.758646674000033,2
51.34331454000005,13.706465801000036,3
50.95863798000005,13.93741312800006,3
51.23555705600006,13.32557777900007,3
50.97245524300007,14.269579410000063,2
51.145032538000066,14.990707163000025,3
51.06376039200006,13.941605819000074,3
51.50680798700006,14.71316831100006,3
51.40738855300003,14.548712957000077,3
51.34817909800006,12.53096141800006,3
51.28526388100005,12.422384988000033,3
51.35725411000004,12.491243452000049,3
51.332118226000034,12.359975989000077,2
51.373370762000036,12.318920878000029,3
51.375221665000026,12.412791018000064,3
51.24456324100004,12.384015465000061,3
51.31469552200008,12.368473463000043,3
51.33680766200007,12.470783653000069,3
51.308668201000046,12.270975177000025,3
51.34273658700005,12.395023791000028,3
51.327907622000055,12.370480964000024,3
51.12136649400003,12.493024566000031,3
51.12791979100007,12.497055416000023,3
51.20439023000006,12.324353582000072,3
51.230536560000075,12.723374489000037,3
51.20265493000005,12.607759411000075,3
51.45988669700006,12.637261848000037,3
51.55441583500004,13.030857066000067,3
50.587253522000026,12.218640595000068,2
50.821583917000055,12.548191907000046,3
50.70695797900004,12.45917709500003,3
50.718735045000074,12.483195586000022,3
50.72571563500003,12.776964791000069,3
50.995343571000035,13.144212414000037,3
50.83189489700004,12.919602566000037,3
50.59264862200007,12.808158781000031,3
50.73463931500004,13.063107573000025,3
50.90809368100008,13.032496713000057,3
51.05326492900008,13.781463931000076,3
51.04008400400005,13.660444066000025,2
51.06079898300004,13.731733255000051,3
51.03435818100007,13.731225499000061,3
51.057966916000055,13.688938243000052,3
51.074528635000036,13.723045218000038,3
50.76138466000003,13.787293307000027,2
50.89725227000008,13.691642036000076,3
51.23418994100007,13.536489796000069,1
51.22967346900003,14.895090740000057,2
51.08798867400003,14.213329724000062,3
51.05864340000005,13.777368741000032,3
51.30836905900003,14.32610567100005,3
51.11333414100005,13.921190957000022,3
51.261366578000036,13.90210694600006,3
50.90386631300004,14.808599369000035,3
51.33062473700005,12.36293379700004,2
51.36723417300004,12.46086983300006,3
51.421672123000064,12.400565701000062,3
51.31964390100006,12.37357410900006,2
51.40718084400004,12.381848872000035,3
51.40599769700003,12.388361289000045,3
51.36182359000003,12.39983310100007,3
51.33659550800007,12.371544579000044,3
51.537233325000045,12.316789376000031,3
51.466804395000054,12.604488058000072,3
51.30692639400007,13.100334791000023,3
51.45754055500004,12.927336505000028,3
50.55498288000007,12.19055959800005,3
51.120508131000065,13.153611585000021,2
50.73312046800004,12.862977078000029,3
50.83082576800007,12.892628018000039,3
50.59836236800004,13.001267317000043,3
50.53255250600006,12.841749191000076,3
