name,unfaelle,population,rate
"Pirna, Stadt",145,40002,3.624818759062046897655117
Schleife,9,2499,3.601440576230492196878752
"Neustadt in Sachsen, Stadt",42,11691,3.592507056710289966641006
Striegistal,16,4475,3.57541899441340782122905
"Stollberg/Erzgeb., Stadt",39,10986,3.549972692517749863462589
"Penig, Stadt",28,7924,3.533568904593639575971731
"Hoyerswerda, Stadt",107,30493,3.509002066047945430098711
"Glashütte, Stadt",22,6281,3.502626970227670753064799
Arzberg,6,1719,3.490401396160558464223386
"Ehrenfriedersdorf, Stadt",15,4299,3.489183531053733426378227
"Torgau, Stadt",69,19832,3.479225494150867285195643
Lawalde,6,1728,3.472222222222222222222222
Königswalde,7,2021,3.46363186541316180108857
Lichtenberg/Erzgeb.,9,2600,3.461538461538461538461538
Schönwölkau,9,2603,3.457548981943910872070688
Ottendorf-Okrilla,34,9836,3.4566897112647417649451
Diera-Zehren,11,3194,3.443957420162805259862242
"Delitzsch, Stadt",88,25644,3.431601934175635626267353
"Radebeul, Stadt",113,32973,3.427046371273466169290025
Ellefeld,8,2336,3.424657534246575342465753
"Belgern-Schildau, Stadt",25,7349,3.401823377330249013471221
Rosenbach,5,1480,3.378378378378378378378378
Rossau,11,3271,3.36288596759400794863956
"Ebersbach-Neugersdorf, Stadt",36,10714,3.360089602389397050588016
"Oschatz, Stadt",47,14048,3.345671981776765375854214
"Liebstadt, Stadt",4,1202,3.327787021630615640599002
Oderwitz,15,4530,3.311258278145695364238411
Erlau,10,3025,3.305785123966942148760331
Altmittweida,6,1820,3.296703296703296703296703
Ohorn,8,2434,3.286770747740345110928513
"Leipzig, Stadt",2017,614135,3.284294169848648912698348
Zeithain,18,5488,3.279883381924198250728863
"Wittichenau, Stadt",18,5506,3.269160915365056302215765
"Freiberg, Stadt, Universitätsstadt",134,41147,3.256616521253068267431404
Priestewitz,10,3071,3.256268316509280364702051
"Trebsen/Mulde, Stadt",12,3706,3.237992444684295736643281
"Großenhain, Stadt",58,17969,3.227781178696644220602148
Reinhardtsdorf-Schöna,4,1244,3.215434083601286173633441
Krauschwitz i.d. O.L.,10,3118,3.207184092366901860166774
Mücka,3,936,3.205128205128205128205128
"Hainichen, Stadt",26,8162,3.185493751531487380543984
"Markneukirchen, Stadt",22,6932,3.173687247547605308713214
"Leisnig, Stadt",25,7883,3.171381453761258404160852
"Schöneck/Vogtl., Stadt",9,2838,3.171247357293868921775899
Hartmannsdorf,14,4421,3.166704365528161049536304
Laußig,11,3483,3.158196956646569049669825
Zschepplin,9,2850,3.157894736842105263157895
Remse,5,1584,3.156565656565656565656566
Claußnitz,9,2855,3.152364273204903677758319
"Zwönitz, Stadt",35,11230,3.116651825467497773820125
"Bad Düben, Stadt",24,7709,3.113244259955895706317291
Steinigtwolmsdorf,8,2583,3.097173828881145954316686
"Meißen, Stadt",89,28858,3.084066809896735740522559
Sehmatal,18,5841,3.081664098613251155624037
"Elterlein, Stadt",8,2598,3.079291762894534257120862
"Plauen, Stadt, Hochschulstadt",198,64765,3.057206824673820736508917
"Thum, Stadt",14,4616,3.032928942807625649913345
"Scheibenberg, Stadt",6,1981,3.02877334679454820797577
"Königsbrück, Stadt",14,4641,3.016591251885369532428356
"Herrnhut, Stadt",17,5640,3.014184397163120567375887
"Riesa, Stadt, Hochschulstadt",87,29057,2.994115015314726227759232
Wermsdorf,15,5026,2.984480700358137684042977
"Kamenz, Stadt",50,16800,2.97619047619047619047619
"Hartha, Stadt",19,6392,2.97246558197747183979975
Borsdorf,24,8084,2.968827313211281543790203
"Bischofswerda, Stadt",31,10452,2.96593953310371220818982
"Oederan, Stadt",22,7427,2.96216507338090749966339
Malschwitz,14,4731,2.959205242020714436694145
Rietschen,7,2369,2.954833262980160405234276
Röderaue,7,2369,2.954833262980160405234276
"Frankenberg/Sa., Stadt, Garnisonsstadt",40,13598,2.941609060155905280188263
Drebach,14,4761,2.940558706154169292165511
"Pockau-Lengefeld, Stadt",21,7143,2.939941201175976480470391
Wechselburg,5,1709,2.925687536571094207138678
"Görlitz, Stadt, Hochschulstadt",160,54932,2.912692055632418262579189
"Pulsnitz, Stadt",21,7214,2.911006376490158026060438
"Radeberg, Stadt",54,18614,2.901042226281293649940905
"Reichenbach/O.L., Stadt",13,4489,2.895967921586099353976387
Dorfhain,3,1037,2.89296046287367405978785
"Coswig, Stadt",59,20407,2.891164796393394423482138
"Dippoldiswalde, Stadt",40,13877,2.882467392087627008719464
Bärenstein,6,2093,2.866698518872431915910177
Parthenstein,10,3495,2.861230329041487839771102
"Großröhrsdorf, Stadt",27,9442,2.859563651768693073501377
"Eilenburg, Stadt",47,16467,2.854193234954758000850185
"Flöha, Stadt",29,10178,2.849282766751817645902928
"Taucha, Stadt",45,15829,2.842883315433697643565607
"Niesky, Stadt",25,8825,2.832861189801699716713881
Lampertswalde,7,2474,2.829426030719482619240097
"Elsterberg, Stadt",10,3537,2.827254735651682216567713
"Waldenburg, Stadt",11,3910,2.813299232736572890025575
"Sebnitz, Stadt",26,9246,2.812026822409690677049535
