"name","area_km2","population","blitzer","unfaelle","blitzerdichte","unfallrate"
"Nebelschütz","22.93","1155","0","5","0.0","4.329004329004329004329004"
"Johanngeorgenstadt, Stadt","29.59","3422","0","6","0.0","1.753360607831677381648159"
"Drebach","32.86","4761","0","14","0.0","2.940558706154169292165511"
"Hartenstein, Stadt","36.7","4399","0","35","0.0","7.956353716753807683564446"
"Frohburg, Stadt","145.3","11968","0","25","0.0","2.088903743315508021390374"
"Hainichen, Stadt","51.73","8162","1","26","0.019331142470520007732457","3.185493751531487380543984"
"Bannewitz","25.75","11025","2","30","0.077669902912621359223301","2.721088435374149659863946"
"Limbach","14.21","1367","0","11","0.0","8.0468178493050475493782"
"Augustusburg, Stadt","23.38","4292","0","10","0.0","2.329916123019571295433364"
"Tharandt, Stadt","71.22","5089","1","14","0.0140409997191800056164","2.751031636863823933975241"
"Hainewalde","12.96","1501","0","3","0.0","1.998667554963357761492338"
"Waldhufen","58.76","2296","1","19","0.017018379850238257317903","8.275261324041811846689895"
"Röderaue","28.82","2369","1","7","0.03469812630117973629424","2.954833262980160405234276"
"Schöneck/Vogtl., Stadt","55.03","2838","1","9","0.018171906232963837906596","3.171247357293868921775899"
"Mühlental","39.59","1144","0","13","0.0","11.363636363636363636363636"
"Dennheritz","13.37","1242","0","5","0.0","4.025764895330112721417069"
"Burkhardtsdorf","21.22","5816","0","7","0.0","1.203576341127922971114168"
"Böhlen, Stadt","25.27","6804","0","11","0.0","1.616696061140505584950029"
"Meißen, Stadt","30.92","28858","1","89","0.032341526520051746442432","3.084066809896735740522559"
"Crottendorf","36.42","3730","0","6","0.0","1.608579088471849865951743"
"Königswartha","47.17","3289","0","9","0.0","2.736394040741866828823351"
"Neusalza-Spremberg, Stadt","22.91","3016","0","8","0.0","2.65251989389920424403183"
"Löbau, Stadt","78.9","14402","2","60","0.025348542458808618504436","4.166088043327315650604083"
"Glauchau, Stadt, Hochschulstadt","51.62","21202","1","58","0.019372336303758233242929","2.73559098198283180831997"
"Großolbersdorf","22.58","2688","4","7","0.177147918511957484499557","2.604166666666666666666667"
"Otterwisch","22.76","1362","0","3","0.0","2.202643171806167400881057"
"Sehmatal","44.51","5841","0","18","0.0","3.081664098613251155624037"
"Zschopau, Stadt, Motorradstadt","22.78","8643","0","16","0.0","1.851209070924447529792896"
"Ehrenfriedersdorf, Stadt","15.89","4299","0","15","0.0","3.489183531053733426378227"
"Radeburg, Stadt","54.02","7560","0","29","0.0","3.835978835978835978835979"
"Glaubitz","14.0","1919","0","7","0.0","3.647733194372068785825951"
"Adorf/Vogtl., Stadt","42.97","4350","0","17","0.0","3.908045977011494252873563"
"Löbnitz","37.39","2054","0","2","0.0","0.973709834469328140214216"
"Eilenburg, Stadt","46.85","16467","0","47","0.0","2.854193234954758000850185"
"Sayda, Stadt","35.3","1644","0","9","0.0","5.474452554744525547445255"
"Hähnichen","49.76","1151","0","6","0.0","5.212858384013900955690704"
"Meerane, Stadt","19.81","13530","2","37","0.100959111559818273599192","2.734663710273466371027347"
"Striegistal","77.24","4475","0","16","0.0","3.57541899441340782122905"
"Trossin","79.68","1152","0","3","0.0","2.604166666666666666666667"
"Sohland a. d. Spree","37.3","6136","1","24","0.026809651474530831099196","3.91134289439374185136897"
"Großweitzschen","44.45","2630","0","23","0.0","8.745247148288973384030418"
"Schwepnitz","56.03","2382","0","6","0.0","2.518891687657430730478589"
"Jesewitz","52.44","3044","0","12","0.0","3.942181340341655716162943"
"Olbersdorf","15.16","4149","0","7","0.0","1.687153530971318389973488"
"Demitz-Thumitz","21.11","2594","0","7","0.0","2.698535080956052428681573"
"Wachau","38.11","4235","1","24","0.026239832065074783521385","5.667060212514757969303424"
"Lohsa","134.95","4899","1","9","0.007410151908114116339385","1.837109614206981016533987"
"Hohnstein, Stadt","64.64","3056","0","15","0.0","4.908376963350785340314136"
"Reinsberg","49.71","2755","0","6","0.0","2.177858439201451905626134"
"St. Egidien","21.26","3000","0","14","0.0","4.666666666666666666666667"
"Elsterheide","127.61","3235","2","18","0.015672752919050231173106","5.564142194744976816074189"
"Brandis, Stadt","34.89","9648","0","23","0.0","2.38391376451077943615257"
"Jahnatal","70.95","4731","0","0","0.0","0.0"
"Rochlitz, Stadt, Stadt des Roten Porphyr","23.76","5439","0","12","0.0","2.206287920573634859349145"
"Stützengrün","28.29","2995","0","3","0.0","1.001669449081803005008347"
"Krostitz","43.21","4139","0","17","0.0","4.107272287992268663928485"
"Neukieritzsch","57.09","7086","0","16","0.0","2.257973468811741462037821"
"Rosenbach/Vogtl.","67.34","3897","0","17","0.0","4.362329997433923530921221"
"Roßwein, Stadt","44.11","7021","0","18","0.0","2.563737359350519868964535"
"Treuen, Stadt","43.74","7491","0","17","0.0","2.269389934588172473635029"
"Breitenbrunn/Erzgeb., Hochschulstadt","60.0","4640","0","13","0.0","2.801724137931034482758621"
"Stollberg/Erzgeb., Stadt","38.99","10986","0","39","0.0","3.549972692517749863462589"
"Lampertswalde","63.65","2474","0","7","0.0","2.829426030719482619240097"
"Rietschen","73.19","2369","0","7","0.0","2.954833262980160405234276"
"Borsdorf","15.64","8084","0","24","0.0","2.968827313211281543790203"
"Belgershain","22.8","3465","0","5","0.0","1.443001443001443001443001"
"Bad Schandau, Stadt","46.78","3226","1","23","0.021376656690893544249679","7.129572225666460012399256"
"Bischofswerda, Stadt","46.21","10452","1","31","0.021640337589266392555724","2.96593953310371220818982"
"Grimma, Stadt","218.23","27513","0","103","0.0","3.7436848035474139497692"
"Niesky, Stadt","53.81","8825","0","25","0.0","2.832861189801699716713881"
"Penig, Stadt","63.36","7924","0","28","0.0","3.533568904593639575971731"
"Wurzen, Stadt","69.0","16198","0","44","0.0","2.71638473885664896900852"
