"name","area_km2","population","blitzer","unfaelle","blitzerdichte","unfallrate"
"Neustadt in Sachsen, Stadt","83.12","11691","0","42","0.0","3.592507056710289966641006"
"Gornsdorf","4.19","1869","0","1","0.0","0.535045478865703584804708"
"Gelenau/Erzgeb.","21.1","3947","0","5","0.0","1.26678489992399290600456"
"Crinitzberg","18.81","1726","0","2","0.0","1.158748551564310544611819"
"Leipzig, Stadt","297.8","614135","40","2017","0.13431833445265278710544","3.284294169848648912698348"
"Krauschwitz i.d. O.L.","106.83","3118","2","10","0.0187213329589066741552","3.207184092366901860166774"
"Ottendorf-Okrilla","25.93","9836","1","34","0.038565368299267258002314","3.4566897112647417649451"
"Heidersdorf","9.51","732","0","1","0.0","1.366120218579234972677596"
"Schöpstal","29.72","2248","0","18","0.0","8.007117437722419928825623"
"Kitzscher, Stadt","29.04","5197","0","3","0.0","0.577256109293823359630556"
"Liebstadt, Stadt","37.36","1202","0","4","0.0","3.327787021630615640599002"
"Tannenberg","7.97","1004","0","1","0.0","0.996015936254980079681275"
"Waldenburg, Stadt","25.06","3910","0","11","0.0","2.813299232736572890025575"
"Frauenstein, Stadt","58.98","2638","0","7","0.0","2.653525398028809704321456"
"Mockrehna","115.81","4811","0","10","0.0","2.078569943878611515277489"
"Grünhainichen","28.72","2975","0","11","0.0","3.697478991596638655462185"
"Königshain","19.58","1150","0","1","0.0","0.869565217391304347826087"
"Oderwitz","35.91","4530","0","15","0.0","3.311258278145695364238411"
"Lawalde","14.55","1728","0","6","0.0","3.472222222222222222222222"
"Callenberg","39.86","4580","0","22","0.0","4.803493449781659388646288"
"Oederan, Stadt","77.33","7427","0","22","0.0","2.96216507338090749966339"
"Rosenbach","23.56","1480","0","5","0.0","3.378378378378378378378378"
"Frankenthal","9.42","899","0","0","0.0","0.0"
"Neuhausen/Erzgeb.","48.1","2404","0","3","0.0","1.247920133111480865224626"
"Hochkirch","41.76","2127","1","3","0.023946360153256704980843","1.410437235543018335684062"
"Lauter-Bernsbach, Stadt","30.28","8070","0","18","0.0","2.23048327137546468401487"
"Marienberg, Stadt","133.49","15872","2","31","0.014982395685070042699828","1.953125"
"Nünchritz","31.28","5248","2","20","0.063938618925831202046036","3.81097560975609756097561"
"Horka","41.02","1540","0","4","0.0","2.597402597402597402597403"
"Lohmen","25.9","2979","0","15","0.0","5.035246727089627391742195"
