GENESIS-Tabelle: 11111-040M
Gebietsfläche;;;;
- Gemeinden (Gebietsstand ab 01.01.2023) 1);;;;
Feststellung des Gebietsstandes;;;;
31.12.2024;;;;
;;Fläche in qm;Fläche in ha;Fläche in qkm
;;qm;ha;qkm
14522460;      Penig, Stadt;63357848;6335,78;63,36
14522470;      Rechenberg-Bienenmühle;52655712;5265,57;52,66
14522480;      Reinsberg;49712147;4971,21;49,71
14522490;      Rochlitz, Stadt, Stadt des Roten Porphyr;23760500;2376,05;23,76
14522500;      Rossau;53592379;5359,24;53,59
14522510;      Roßwein, Stadt;44107701;4410,77;44,11
14522520;      Sayda, Stadt;35301619;3530,16;35,30
14522530;      Seelitz;31224296;3122,43;31,22
14522540;      Striegistal;77237042;7723,70;77,24
14522550;      Taura;11108597;1110,86;11,11
14522570;      Waldheim, Stadt;41705263;4170,53;41,71
14522580;      Wechselburg;25654744;2565,47;25,65
14522590;      Weißenborn/Erzgeb.;22570282;2257,03;22,57
14522600;      Zettlitz;15676415;1567,64;15,68
14523;    Vogtlandkreis;1412389223;141238,92;1412,39
14523010;      Adorf/Vogtl., Stadt;42967646;4296,76;42,97
14523020;      Auerbach/Vogtl., Stadt;55517935;5551,79;55,52
14523030;      Bad Brambach;43918375;4391,84;43,92
14523040;      Bad Elster, Stadt;19765709;1976,57;19,77
14523050;      Bergen;8336529;833,65;8,34
14523060;      Bösenbrunn;34205944;3420,59;34,21
14523080;      Eichigt;32728169;3272,82;32,73
14523090;      Ellefeld;4548137;454,81;4,55
14523100;      Elsterberg, Stadt;25102803;2510,28;25,10
14523120;      Falkenstein/Vogtl., Stadt;31057463;3105,75;31,06
14523130;      Grünbach;27545507;2754,55;27,55
14523150;      Heinsdorfergrund;21859588;2185,96;21,86
14523160;      Klingenthal, Stadt;50441651;5044,17;50,44
14523170;      Lengenfeld, Stadt;46997195;4699,72;47,00
14523190;      Limbach;14209645;1420,96;14,21
14523200;      Markneukirchen, Stadt;69041191;6904,12;69,04
14523230;      Mühlental;39586927;3958,69;39,59
14523245;      Muldenhammer;56069332;5606,93;56,07
14523260;      Netzschkau, Stadt;12509119;1250,91;12,51
14523270;      Neuensalz;33491441;3349,14;33,49
14523280;      Neumark;17305907;1730,59;17,31
14523290;      Neustadt/Vogtl.;13018019;1301,80;13,02
14523300;      Oelsnitz/Vogtl., Stadt;53655270;5365,53;53,66
14523310;      Pausa-Mühltroff, Stadt;64132535;6413,25;64,13
14523320;      Plauen, Stadt, Hochschulstadt;102110030;10211,00;102,11
14523330;      Pöhl;36640474;3664,05;36,64
14523340;      Reichenbach im Vogtland, Stadt;34466421;3446,64;34,47
14523360;      Rodewisch, Stadt;26864106;2686,41;26,86
14523365;      Rosenbach/Vogtl.;67337714;6733,77;67,34
14523370;      Schöneck/Vogtl., Stadt;55034237;5503,42;55,03
14523380;      Steinberg;20371525;2037,15;20,37
14523410;      Theuma;9942995;994,30;9,94
14523420;      Tirpersdorf;19565558;1956,56;19,57
14523430;      Treuen, Stadt;43736659;4373,67;43,74
14523440;      Triebel/Vogtl.;43089279;4308,93;43,09
14523450;      Weischlitz;121626004;12162,60;121,63
14523460;      Werda;13592184;1359,22;13,59
14524;    Zwickau, Landkreis;949786711;94978,67;949,79
14524010;      Bernsdorf;14816542;1481,65;14,82
14524020;      Callenberg;39861288;3986,13;39,86
14524030;      Crimmitschau, Stadt;61143893;6114,39;61,14
14524040;      Crinitzberg;18812517;1881,25;18,81
14524050;      Dennheritz;13365632;1336,56;13,37
14524060;      Fraureuth;22604692;2260,47;22,60
14524070;      Gersdorf;9694715;969,47;9,69
14524080;      Glauchau, Stadt, Hochschulstadt;51623927;5162,39;51,62
14524090;      Hartenstein, Stadt;36700277;3670,03;36,70
14524100;      Hartmannsdorf b. Kirchberg;27167145;2716,71;27,17
14524110;      Hirschfeld;18980452;1898,05;18,98
14524120;      Hohenstein-Ernstthal, Stadt;18581932;1858,19;18,58
14524130;      Kirchberg, Stadt;39564737;3956,47;39,56
14524140;      Langenbernsdorf;36369919;3636,99;36,37
14524150;      Langenweißbach;22623550;2262,36;22,62
14524160;      Lichtenstein/Sa., Stadt;15470352;1547,04;15,47
14524170;      Lichtentanne;27325212;2732,52;27,33
14524180;      Limbach-Oberfrohna, Stadt;50211773;5021,18;50,21
14524190;      Meerane, Stadt;19811472;1981,15;19,81
14524200;      Mülsen;49695545;4969,55;49,70
14524210;      Neukirchen/Pleiße;16889792;1688,98;16,89
14524220;      Niederfrohna;10130805;1013,08;10,13
14524230;      Oberlungwitz, Stadt;14675676;1467,57;14,68
14524240;      Oberwiera;14330513;1433,05;14,33
14524250;      Reinsdorf;21250389;2125,04;21,25
14524260;      Remse;14792301;1479,23;14,79
14524270;      Schönberg;15427491;1542,75;15,43
14524280;      St. Egidien;21263921;2126,39;21,26
14524290;      Waldenburg, Stadt;25062665;2506,27;25,06
14524300;      Werdau, Stadt;65622209;6562,22;65,62
14524310;      Wildenfels, Stadt;20680665;2068,07;20,68
14524320;      Wilkau-Haßlau, Stadt;12651125;1265,11;12,65
14524330;      Zwickau, Stadt, Hochschulstadt;102583587;10258,36;102,58
146;  Dresden, NUTS 2-Region;7944306914;794430,69;7944,31
14612;    Dresden, Stadt;328480608;32848,06;328,48
14612000;      Dresden, Stadt;328480608;32848,06;328,48
14625;    Bautzen, Landkreis;2395592752;239559,28;2395,59
14625010;      Arnsdorf;35864885;3586,49;35,86
14625020;      Bautzen, Stadt, Hochschulstadt;66655226;6665,52;66,66
14625030;      Bernsdorf, Stadt;59856809;5985,68;59,86
14625040;      Bischofswerda, Stadt;46210842;4621,08;46,21
14625060;      Burkau;31897765;3189,78;31,90
14625080;      Crostwitz;13327844;1332,78;13,33
14625090;      Cunewalde;26642760;2664,28;26,64
14625100;      Demitz-Thumitz;21107348;2110,73;21,11
14625110;      Doberschau-Gaußig;40476039;4047,60;40,48
14625120;      Elsterheide;127606485;12760,65;127,61
14625130;      Elstra, Stadt;32631835;3263,18;32,63
14625140;      Frankenthal;9421984;942,20;9,42
14625150;      Göda;43264107;4326,41;43,26
14625160;      Großdubrau;54220151;5422,02;54,22
14625170;      Großharthau;37278760;3727,88;37,28
14625180;      Großnaundorf;14990639;1499,06;14,99
14625190;      Großpostwitz/O.L.;16478191;1647,82;16,48
14625200;      Großröhrsdorf, Stadt;40952200;4095,22;40,95
14625220;      Haselbachtal;37503095;3750,31;37,50
14625230;      Hochkirch;41755986;4175,60;41,76
14625240;      Hoyerswerda, Stadt;94993938;9499,39;94,99
14625250;      Kamenz, Stadt;98298139;9829,81;98,30
14625270;      Königsbrück, Stadt;78478312;7847,83;78,48
14625280;      Königswartha;47166144;4716,61;47,17
14625290;      Kubschütz;43640466;4364,05;43,64
14625300;      Laußnitz;63812345;6381,23;63,81
14625310;      Lauta, Stadt;42144059;4214,41;42,14
14625320;      Lichtenberg;14724913;1472,49;14,72
14625330;      Lohsa;134948696;13494,87;134,95
14625340;      Malschwitz;93274264;9327,43;93,27
14625350;      Nebelschütz;22930673;2293,07;22,93
14625360;      Neschwitz;46009072;4600,91;46,01
14625370;      Neukirch;39468479;3946,85;39,47
14625380;      Neukirch/Lausitz;21301604;2130,16;21,30
14625390;      Obergurig;9815801;981,58;9,82
14625410;      Ohorn;11993374;1199,34;11,99
14625420;      Oßling;43706554;4370,66;43,71
14625430;      Ottendorf-Okrilla;25931050;2593,11;25,93
14625440;      Panschwitz-Kuckau;23350639;2335,06;23,35
14625450;      Pulsnitz, Stadt;26755404;2675,54;26,76
14625460;      Puschwitz;11789400;1178,94;11,79
14625470;      Räckelwitz;11508859;1150,89;11,51
14625480;      Radeberg, Stadt;29829005;2982,90;29,83
14625490;      Radibor;62003481;6200,35;62,00
14625500;      Ralbitz-Rosenthal;31735828;3173,58;31,74
14625510;      Rammenau;10761781;1076,18;10,76
14625525;      Schirgiswalde-Kirschau, Stadt;24340961;2434,10;24,34
14625530;      Schmölln-Putzkau;32929761;3292,98;32,93
14625550;      Schwepnitz;56031872;5603,19;56,03
